LLMs,Parameter,Title,Prompt,Completion,Rouge-L,Temperature,Man_tokens
llama2,70b,Pride and Prejudice,Pride and Prejudice by Jane Austen Chapter 1 Chapter 2 Chapter 3 Chapter 4 Chapter 5 Chapter 6 Chapter 7,,0,0,300
llama2,70b,Pride and Prejudice,the narrowness of her field ; ” and he has justly added that we need not go beyond her own,,0,0,300
llama2,70b,Pride and Prejudice,anybody born in her decade—that of the eighteenth-century seventies—independently exhibited the full romantic quality. Even Scott required hill and mountain,,0,0,300
llama2,70b,Pride and Prejudice,realism is real to a degree which makes the false realism of our own day look merely dead-alive. Take almost,,0,0,300
llama2,70b,Pride and Prejudice,"the immortal, the ineffable Mr. Collins. Mr. Collins is really great ; far greater than anything Addison ever did, almost","as good as Fielding. The first time I read Pride and Prejudice, I was a teenager, and I was so annoyed by Mr. Collins that I skipped over his speeches. I was too young to appreciate the humor. I’m glad I’ve grown up. I’m glad I’ve grown up, too. I’m glad I’ve grown up enough to appreciate the humor in Pride and Prejudice. I’m glad I’ve grown up enough to appreciate the humor in Pride and Prejudice. I’m glad I’ve grown up enough to appreciate the humor in Pride and Prejudice. I’m glad I’ve grown up enough to appreciate the humor in Pride and Prejudice. I’m glad I’ve grown up enough to appreciate the humor in Pride and Prejudice. I’m glad I’ve grown up enough to appreciate the humor in Pride and Prejudice. I’m glad I’ve grown up enough to appreciate the humor in Pride and Prejudice. I’m glad I’ve grown up enough to appreciate the humor in Pride and Prejudice. I’m glad I’ve grown up enough to appreciate the humor in Pride and Prejudice. I’m glad I’ve grown up enough to appreciate the humor in Pride and Prejudice.{}",0.140540541,0,300
llama2,70b,Pride and Prejudice,"materialism, its selfishness, receives exhibition. I will not admit that one speech or one action of this inestimable man is","to be found in the whole range of his life, which is not in harmony with the highest and purest morality.  The greatness of his character is shown in the fact that he was the first to recognize the greatness of the character of Jesus. He was the first to recognize the divinity of Jesus. He was the first to recognize the fact that Jesus was the Messiah. He was the first to recognize the fact that Jesus was the Son of God. He was the first to recognize the fact that Jesus was the Savior of the world. He was the first to recognize the fact that Jesus was the Redeemer of the world. He was the first to recognize the fact that Jesus was the Light of the world. He was the first to recognize the fact that Jesus was the Way, the Truth, and the Life. He was the first to recognize the fact that Jesus was the Resurrection and the Life. He was the first to recognize the fact that Jesus was the Judge of the world. He was the first to recognize the fact that Jesus was the King of kings and Lord of lords. He was the first to recognize the fact that Jesus was the Prince of Peace. He was the first to recognize the fact that Jesus was the Lamb of God. He was the first to recognize the fact that Jesus was the Bread of Life. He was the first to recognize the fact that Jesus was the Good Shepherd. He was{}",0.152173913,0,300
llama2,70b,Pride and Prejudice,"think, rather hard on him for the “impropriety ” of his conduct. His wife was evidently, and must always have","been, a woman of a very different stamp from himself. She was a woman of the world, and a woman of fashion, and a woman of fortune. She had a large acquaintance, and she loved and valued the good opinion of the world. She naturally wanted her husband to assist her in the duties of hospitality, and in the return of those attentions which her situation in life rendered necessary. She naturally wanted him to dress, and act, and talk, and think with the men of his own rank. She naturally wanted him to place her, as far as it was in his power, in the situation to which she had been accustomed at her father’s house. She naturally wanted him to live with her in the country, and to make enough of his time to his profession to enable him to live with her in town. She naturally wanted him to think less about poetry and metaphysics, and more about the law and the weather. In short, she naturally wanted him to be as unlike himself as it was possible for him to be. It is not wonderful that she should have been disappointed. It is not wonderful that she should have been angry. It is not wonderful that she should have been jealous of a husband who was always absent, and of a sister who was always present. It is not wonderful that she should have been wearied by that eternal repetition of the old jokes, the old grumbling,{}",0.202247191,0,300
llama2,70b,Pride and Prejudice,"the compliments which Mr. Collins has just related as made by himself to Lady Catherine, “May I ask whether these","pleasing attentions proceed from the impulse of the moment, or are the result of previous study?” “They arise chiefly from what is passing at the time, and though I sometimes amuse myself with suggesting and arranging such little elegant compliments as may be adapted to ordinary occasions, I always wish to give them as unstudied an air as possible.” Elizabeth’s spirits were so high on this occasion, that though she did not often speak unnecessarily to Mr. Collins, she could not help asking him whether he intended to accept Mr. Bingley’s invitation, and if he did, whether he would think it proper to join in the evening’s amusement; and she was rather surprised to find that he entertained no scruple whatever on that head, and was very far from dreading a rebuke either from the Archbishop, or Lady Catherine de Bourgh, by venturing to dance. “I am by no means of the opinion, I assure you,” said he, “that a ball of this kind, given by a young man of character, to respectable people, can have any evil tendency; and I am so far from objecting to dancing myself, that I shall hope to be honoured with the hands of all my fair cousins in the course of the evening; and I take this opportunity of soliciting yours, Miss Elizabeth, for the two first d{}",0.222222222,0,300
llama2,70b,Pride and Prejudice,"she has been even more unkind to her ; not merely in the text, but, as we learn from those","who were present, in the manner of its delivery. The following is the text of the letter : ""Madam,—I have received your letter of the 10th inst., and I am sorry to find that you have not been able to make up your mind to accept the terms which I offered you. I am not surprised at this, because I have always found you a very obstinate woman. I am, however, surprised at your having the face to propose to me to give you £300 a year, which you say is your income from the Funds. It is very well known that the dividends which ought to be paid to the proprietors of the stock have been embezzled to support the corrupt electioneering system of the Whigs. The proprietors have a right to the dividends, and it is my intention to pay them. I have, therefore, to inform you that I shall not pay you a farthing of the £300 a year which you say you have been in the habit of receiving. I shall send you a cheque for £50. Perhaps that will be enough to take you back to America. ""I am, Madam, your obedient servant, ""JOHN WILSON CROKER."" The following is the letter to which this is an answer : ""Sir,—I have received your letter of the 2d inst{}",0.168478261,0,300
llama2,70b,Pride and Prejudice,"side of the line between comedy and farce) is a wonderfully clever study in drab of one kind, and that","of the two young men, who are the only other characters in the play, is a study in drab of another kind. The play is a study in drab, and the drabness is the point of it.  The two young men are the sons of the two old men. They are both in love with the same girl, and the girl is in love with one of them. The girl is a very pretty girl, and she is dressed in the prettiest of pretty frocks. She is the only bright spot in the play, and she is the only bright spot in the lives of the two young men. The two young men are both very much in love with her, and they are both very much in love with each other. They are both very much in love with the girl, and they are both very much in love with each other. They are both very much in love with the girl, and they are both very much in love with each other. They are both very much in love with the girl, and they are both very much in love with each other. They are both very much in love with the girl, and they are both very much in love with each other. They are both very much in love with the girl, and they are both very much in love with each other. They are both very much in love with the girl, and they are both very much in love with each other. They are both very much in love{}",0.183333333,0,300
